NB_VEHICLES,CAPACITY,SPEED,NB_REQUEST
50,2000,1,53

NO,X_COORD,Y_COORD,DEMAND,E_TIME,L_TIME,S_TIME
0,40,50,0,0,1236,0
1,45,68,100,850,1030,90
2,38,68,200,200,380,90
3,42,66,100,16,196,90
4,40,69,200,572,752,90
5,42,65,100,15,195,90
6,40,66,200,108,288,90
7,20,85,400,412,592,90
8,22,75,300,30,210,90
9,15,80,100,222,402,90
10,18,75,200,34,214,90
11,30,50,100,10,190,90
12,23,55,200,480,660,90
13,25,55,100,572,752,90
14,28,55,100,665,845,0
15,25,50,100,15,195,90
16,23,52,100,199,379,90
17,10,40,300,31,211,90
18,8,40,400,33,213,90
19,0,40,300,411,591,90
20,5,35,100,224,404,90
21,0,45,200,506,686,0
22,33,32,200,19,199,90
23,35,32,100,111,291,90
24,33,35,100,16,196,90
25,32,30,100,296,476,90
26,30,30,100,481,661,90
27,30,35,100,947,1127,0
28,26,32,100,758,938,90
29,42,15,100,37,217,90
30,42,10,400,132,312,90
31,40,15,400,35,215,90
32,38,5,300,413,593,90
33,50,30,100,481,661,0
34,48,40,100,13,193,90
35,50,40,500,105,285,90
36,53,35,500,293,473,90
37,47,40,100,12,192,90
38,53,30,100,388,568,90
39,95,30,300,332,512,90
40,88,35,200,50,230,90
41,90,35,100,142,322,90
42,88,30,100,519,699,90
43,85,35,300,47,227,0
44,65,55,200,25,205,90
45,60,55,100,20,200,90
46,70,58,200,401,581,90
47,68,60,300,494,674,90
48,66,55,100,116,296,90
49,65,82,100,221,401,90
50,58,75,200,30,210,90
51,62,80,300,128,308,90
52,60,80,100,36,216,90
53,55,85,200,597,777,0
54,45,65,-100,943,1123,90
55,45,70,-200,758,938,90
56,35,66,-100,294,474,90
57,42,68,-200,665,845,90
58,38,70,-100,480,660,90
59,35,69,-200,387,567,90
60,25,85,-400,597,777,90
61,22,85,-300,504,684,90
62,20,80,-100,317,497,90
63,15,75,-200,127,307,90
64,20,55,-100,387,567,90
65,30,52,-200,850,1030,90
66,28,52,-100,758,938,90
67,28,55,-100,665,845,90
68,25,52,-100,107,287,90
69,20,50,-100,292,472,90
70,10,35,-300,129,309,90
71,5,45,-400,601,781,90
72,8,45,-300,694,874,90
73,2,40,-100,319,499,90
74,0,45,-200,506,686,90
75,35,30,-200,203,383,90
76,25,30,-100,666,846,90
77,28,30,-100,573,753,90
78,30,32,-100,389,569,90
79,25,35,-100,851,1031,90
80,30,35,-100,947,1127,90
81,28,35,-100,944,1124,90
82,44,5,-100,227,407,90
83,40,5,-400,321,501,90
84,35,5,-400,506,686,90
85,38,15,-300,606,786,90
86,50,30,-100,481,661,90
87,50,35,-100,200,380,90
88,47,35,-500,761,941,90
89,48,30,-500,573,753,90
90,45,35,-100,853,1033,90
91,45,30,-100,666,846,90
92,92,30,-300,425,605,90
93,95,35,-200,237,417,90
94,87,30,-100,610,790,90
95,85,25,-100,705,885,90
96,85,35,-300,47,227,90
97,75,55,-200,305,485,90
98,72,55,-100,212,392,90
99,63,58,-200,680,860,90
100,60,60,-300,773,953,90
101,65,60,-100,587,767,90
102,67,85,-100,315,495,90
103,65,85,-200,407,587,90
104,55,80,-300,692,872,90
105,60,85,-100,502,682,90
106,55,85,-200,597,777,90
