NB_VEHICLES,CAPACITY,SPEED,NB_REQUEST
50,2000,1,53

NO,X_COORD,Y_COORD,DEMAND,E_TIME,L_TIME,S_TIME
0,40,50,0,0,240,0
1,20,82,100,37,67,10
2,22,75,300,0,199,10
3,18,80,100,113,143,10
4,20,85,200,0,189,10
5,18,75,200,95,125,10
6,6,68,300,89,119,10
7,15,80,100,91,121,0
8,0,40,200,72,102,10
9,8,56,270,90,120,10
10,8,40,400,59,89,10
11,5,35,100,142,172,10
12,5,45,100,35,65,10
13,24,58,190,67,97,10
14,37,31,140,0,210,10
15,42,10,400,72,102,10
16,40,15,400,92,122,10
17,40,5,100,0,185,10
18,42,12,100,104,134,10
19,95,30,300,0,171,10
20,85,25,100,51,81,10
21,92,30,100,62,92,10
22,90,35,100,67,97,10
23,65,35,30,52,82,10
24,87,30,100,131,161,0
25,85,35,300,0,182,10
26,60,85,300,85,115,10
27,65,85,400,43,73,10
28,62,80,300,75,105,10
29,60,80,100,37,67,10
30,58,75,200,92,122,10
31,55,80,100,33,63,10
32,2,45,100,45,75,10
33,35,40,160,11,41,10
34,60,12,310,75,105,10
35,10,20,190,0,187,10
36,31,52,270,41,71,10
37,49,58,100,86,116,10
38,27,43,90,0,215,10
39,50,35,190,130,160,10
40,49,42,130,0,217,10
41,12,24,130,90,120,10
42,45,65,90,66,96,10
43,63,23,20,0,194,10
44,45,30,170,53,83,10
45,65,55,140,65,95,10
46,31,67,30,180,210,10
47,63,65,80,0,202,0
48,26,35,150,77,107,10
49,5,5,160,0,172,0
50,23,3,70,150,180,0
51,57,48,230,0,212,10
52,53,43,140,14,44,10
53,55,54,260,0,214,0
54,25,85,-100,0,191,10
55,22,85,-300,0,190,10
56,20,80,-100,141,171,10
57,15,60,-200,155,185,10
58,26,52,-200,0,215,10
59,15,75,-300,0,194,10
60,15,80,-100,91,121,10
61,10,35,-200,91,121,10
62,10,40,-270,119,149,10
63,2,60,-400,77,107,10
64,8,45,-100,0,197,10
65,2,40,-100,58,88,10
66,0,45,-190,149,179,10
67,44,5,-140,87,117,10
68,38,5,-400,65,95,10
69,42,15,-400,122,152,10
70,35,5,-100,154,184,10
71,38,15,-100,148,178,10
72,72,35,-300,0,194,10
73,95,35,-100,62,92,10
74,88,35,-100,0,179,10
75,67,5,-100,144,174,10
76,88,30,-30,74,104,10
77,87,30,-100,131,161,10
78,61,52,-300,178,208,10
79,67,85,-300,139,169,10
80,55,82,-400,64,94,10
81,65,82,-300,0,189,10
82,57,29,-100,96,126,10
83,55,85,-200,128,158,10
84,40,60,-100,144,174,10
85,4,18,-100,120,150,10
86,42,5,-160,0,184,10
87,55,20,-310,83,113,10
88,25,30,-190,0,205,10
89,20,50,-270,91,121,10
90,55,60,-100,139,169,10
91,30,60,-90,140,170,10
92,41,37,-190,133,163,10
93,30,25,-130,96,126,10
94,15,10,-130,152,182,10
95,37,47,-90,86,116,10
96,65,20,-20,39,69,10
97,21,24,-170,87,117,10
98,64,42,-140,70,100,10
99,35,69,-30,180,210,10
100,63,65,-80,0,202,10
101,20,20,-150,141,171,10
102,5,5,-160,0,172,10
103,23,3,-70,150,180,10
104,47,47,-230,192,222,10
105,56,37,-140,0,209,10
106,55,54,-260,0,214,10
