NB_VEHICLES,CAPACITY,SPEED,NB_REQUEST,,,
50,7000,1,51,,,
,,,,,,
NO,X_COORD,Y_COORD,DEMAND,E_TIME,L_TIME,S_TIME
0,40,50,0,0,3390,0
1,52,75,100,0,3272,90
2,45,70,300,0,3279,90
3,62,69,100,0,3270,90
4,60,85,300,0,3259,90
5,42,65,100,0,3284,90
6,16,42,200,0,3274,90
7,67,85,200,694,854,90
8,34,60,200,2887,3047,90
9,28,70,100,2601,2761,90
10,20,80,400,2216,2376,90
11,20,85,400,0,3259,90
12,20,50,100,0,3280,90
13,20,55,100,0,3279,90
14,14,66,100,1643,1803,90
15,15,75,200,0,3264,90
16,30,50,100,0,3290,90
17,28,52,200,0,3287,90
18,8,40,400,0,3266,90
19,8,62,100,0,3265,0
20,2,40,200,0,3260,90
21,10,35,200,0,3266,90
22,0,40,300,1063,1223,90
23,5,35,100,0,3261,90
24,36,18,100,0,3267,90
25,50,30,100,0,3277,90
26,53,35,500,213,373,90
27,34,25,300,0,3274,90
28,42,15,100,1065,1225,90
29,25,35,100,0,3278,90
30,26,32,100,0,3277,90
31,45,35,100,680,840,90
32,44,5,200,1256,1416,90
33,53,30,100,0,3276,90
34,40,5,300,0,3255,90
35,48,30,100,0,3278,90
36,44,25,100,0,3274,90
37,50,35,200,120,280,90
38,50,40,500,0,3285,90
39,47,40,100,12,172,90
40,95,30,300,0,3241,90
41,65,60,300,0,3273,90
42,45,65,200,0,3284,90
43,60,60,100,0,3277,90
44,62,80,300,0,3262,90
45,85,35,300,0,3252,90
46,75,55,200,0,3264,0
47,58,75,200,0,3269,90
48,70,58,200,1641,1801,90
49,55,80,100,407,567,90
50,56,64,100,0,3278,90
51,42,58,400,0,3291,90
52,85,25,-100,0,3248,90
53,65,82,-300,0,3259,90
54,60,55,-100,0,3279,90
55,60,66,-300,1261,1421,90
56,72,45,-100,2900,3060,90
57,10,40,-200,0,3268,90
58,58,70,-200,0,3273,90
59,30,56,-200,0,3288,90
60,35,66,-100,0,3283,90
61,35,69,-400,2698,2858,90
62,25,85,-400,0,3261,90
63,22,75,-100,2405,2565,90
64,22,85,-100,0,3260,90
65,18,75,-100,0,3266,90
66,15,80,-200,0,3260,90
67,23,52,-100,0,3282,90
68,25,50,-200,0,3285,90
69,22,66,-400,2504,2664,90
70,8,62,-100,0,3265,90
71,4,55,-200,0,3263,90
72,5,45,-200,0,3264,90
73,8,45,-300,0,3267,90
74,0,45,-100,0,3259,90
75,30,30,-100,0,3277,90
76,35,32,-100,0,3281,90
77,33,32,-500,0,3280,90
78,33,35,-300,0,3283,90
79,32,20,-100,1913,2073,90
80,30,35,-100,0,3281,90
81,36,40,-100,0,3289,90
82,48,20,-100,0,3268,90
83,25,30,-200,0,3275,90
84,42,10,-100,0,3259,90
85,35,5,-300,0,3254,90
86,38,15,-100,0,3264,90
87,38,5,-100,1442,1602,90
88,38,10,-200,0,3259,90
89,47,35,-500,0,3283,90
90,42,30,-100,0,3279,90
91,92,30,-300,0,3244,90
92,95,35,-300,0,3242,90
93,78,40,-200,0,3260,90
94,90,35,-100,2131,2291,90
95,87,30,-300,2608,2768,90
96,64,46,-300,3097,3257,90
97,75,55,-200,0,3264,90
98,72,55,-200,0,3267,90
99,86,46,-200,0,3253,90
100,66,55,-100,0,3273,90
101,62,40,-100,0,3275,90
102,55,85,-400,502,662,90
