NB_VEHICLES,CAPACITY,SPEED,NB_REQUEST
50,7000,1,51

NO,X_COORD,Y_COORD,DEMAND,E_TIME,L_TIME,S_TIME
0,40,50,0,0,3390,0
1,52,75,100,213,568,90
2,45,70,300,22,563,90
3,58,75,200,839,1276,90
4,60,66,100,1154,1527,90
5,42,65,100,15,402,90
6,16,42,200,331,822,90
7,58,70,200,965,1340,90
8,34,60,200,2653,3280,0
9,15,80,100,1689,2144,90
10,30,50,100,10,645,90
11,22,85,100,1846,2365,90
12,15,75,200,1560,2083,90
13,18,75,200,2143,2638,90
14,4,55,200,1268,1785,90
15,22,66,400,2380,2787,90
16,28,52,200,12,505,90
17,5,45,100,1076,1589,90
18,25,50,100,23,368,90
19,5,35,100,666,1245,90
20,23,52,100,93,484,90
21,20,50,100,168,787,90
22,20,55,100,170,595,90
23,10,35,200,585,1136,90
24,36,18,100,1612,2185,90
25,33,32,200,2529,2962,90
26,34,25,300,1884,2293,90
27,42,15,100,897,1392,90
28,50,30,100,223,738,90
29,30,35,100,2348,2771,90
30,45,35,100,534,985,90
31,53,35,500,87,498,90
32,44,5,200,1078,1593,90
33,53,30,100,131,644,90
34,40,5,300,1199,1660,90
35,48,30,100,246,899,90
36,44,25,100,704,1197,90
37,50,35,200,18,474,90
38,50,40,500,14,360,90
39,47,40,100,12,424,90
40,55,85,200,373,790,90
41,92,30,100,2169,2818,90
42,67,85,200,518,1029,90
43,87,30,100,2505,2870,90
44,66,55,100,1604,2027,90
45,42,58,400,8,509,90
46,56,64,100,1116,1753,90
47,72,55,100,1591,2232,90
48,60,85,300,397,956,90
49,65,82,100,549,1186,90
50,65,60,300,1338,1913,0
51,55,80,100,272,701,90
52,86,46,-100,1829,2388,90
53,62,80,-300,744,1177,90
54,62,69,-200,1030,1463,90
55,72,45,-100,2701,3258,90
56,45,65,-100,15,607,90
57,20,85,-200,1763,2264,90
58,95,30,-200,2119,2682,90
59,34,60,-200,2653,3280,90
60,28,70,-100,2385,2976,90
61,35,66,-100,2628,3113,90
62,35,69,-100,2603,2952,90
63,25,85,-200,1985,2412,90
64,22,75,-200,2310,2659,90
65,20,80,-200,2077,2514,90
66,30,56,-400,2675,3288,90
67,0,45,-200,1036,1439,90
68,14,66,-100,1519,1926,90
69,8,45,-100,1190,1661,90
70,8,62,-100,1330,1919,90
71,10,40,-100,448,897,90
72,8,40,-100,499,1030,90
73,0,40,-100,890,1395,90
74,2,40,-200,772,1329,90
75,26,32,-100,2018,2725,90
76,35,32,-200,2599,3076,90
77,33,35,-300,2463,2842,90
78,32,20,-100,1745,2240,90
79,30,30,-100,1932,2437,90
80,36,40,-100,2715,3156,90
81,48,20,-100,812,1281,90
82,25,30,-500,2015,2544,90
83,25,35,-200,2201,2728,90
84,42,10,-100,998,1481,90
85,35,5,-300,1325,1904,90
86,38,15,-100,1552,2057,90
87,38,5,-100,1263,1780,90
88,38,10,-200,1498,1921,90
89,47,35,-500,393,942,90
90,42,30,-100,641,1070,90
91,95,35,-200,2079,2532,90
92,78,40,-100,2599,3164,90
93,90,35,-200,2002,2419,90
94,62,40,-100,2713,3275,90
95,85,25,-100,2369,2816,90
96,85,35,-400,2563,3002,90
97,75,55,-100,1783,2226,90
98,60,55,-100,2789,3279,90
99,70,58,-300,1513,1928,90
100,64,46,-100,2976,3275,90
101,65,60,-300,1338,1913,90
102,60,60,-100,1349,1712,90
