NB_VEHICLES,CAPACITY,SPEED,NB_REQUEST,,,
50,2000,1,53,,,
,,,,,,
NO,X_COORD,Y_COORD,DEMAND,E_TIME,L_TIME,S_TIME
0,40,50,0,0,1236,0
1,45,70,300,0,1125,90
2,42,66,100,0,1129,90
3,40,66,200,0,1130,90
4,42,65,100,0,1130,90
5,35,69,100,448,505,90
6,25,85,200,0,1107,90
7,22,75,300,30,92,90
8,22,85,100,0,1106,0
9,15,80,100,0,1106,90
10,18,75,200,0,1112,90
11,30,50,100,0,1136,90
12,20,55,100,0,1125,90
13,25,55,100,0,1130,90
14,23,55,200,0,1128,90
15,25,50,100,0,1131,0
16,23,52,100,0,1128,90
17,10,35,200,0,1112,90
18,10,40,300,0,1114,90
19,8,40,400,0,1112,0
20,5,45,100,0,1110,90
21,5,35,100,0,1107,90
22,35,30,100,0,1125,90
23,33,35,100,0,1129,90
24,33,32,200,0,1126,90
25,32,30,100,359,412,90
26,30,30,100,0,1123,90
27,30,35,100,0,1127,0
28,26,32,100,0,1123,90
29,44,5,200,286,347,90
30,42,15,100,95,158,90
31,40,15,400,0,1111,90
32,38,5,300,471,534,90
33,50,30,100,0,1123,90
34,50,35,200,262,317,90
35,85,25,100,0,1094,90
36,53,30,100,0,1122,90
37,48,40,100,0,1133,90
38,47,40,100,12,77,90
39,88,35,200,0,1095,90
40,85,35,300,0,1098,90
41,90,35,100,203,260,90
42,45,65,200,0,1130,0
43,88,30,100,574,643,90
44,75,55,200,0,1110,90
45,72,55,100,0,1113,90
46,68,60,300,0,1116,90
47,66,55,100,0,1119,90
48,60,55,100,0,1125,90
49,67,85,200,368,441,0
50,62,80,300,0,1108,90
51,65,82,100,0,1105,90
52,58,75,200,0,1115,90
53,60,85,300,0,1105,90
54,45,68,-300,0,1127,90
55,38,68,-100,255,324,90
56,42,68,-200,727,782,90
57,38,70,-100,534,605,90
58,40,69,-100,0,1127,90
59,35,66,-200,0,1129,90
60,20,85,-300,0,1105,90
61,22,85,-100,0,1106,90
62,20,80,-100,384,429,90
63,15,75,-200,0,1110,90
64,25,52,-100,169,224,90
65,30,52,-100,0,1135,90
66,28,52,-100,0,1133,90
67,28,55,-200,732,777,90
68,25,50,-100,0,1131,90
69,20,50,-100,0,1126,90
70,0,40,-200,479,522,90
71,2,40,-300,0,1106,90
72,8,40,-400,0,1112,90
73,8,45,-100,0,1113,90
74,0,45,-100,0,1105,90
75,30,32,-100,0,1125,90
76,35,32,-100,0,1127,90
77,25,35,-200,0,1124,90
78,28,30,-100,0,1122,90
79,25,30,-100,0,1121,90
80,30,35,-100,0,1127,90
81,28,35,-100,0,1126,90
82,38,15,-200,0,1110,90
83,42,10,-100,0,1105,90
84,40,5,-400,0,1101,90
85,35,5,-300,0,1100,90
86,47,35,-100,0,1129,90
87,45,35,-200,916,969,90
88,50,40,-100,0,1131,90
89,48,30,-100,0,1124,90
90,53,35,-100,353,412,90
91,45,30,-100,0,1125,90
92,95,30,-200,0,1087,90
93,95,35,-300,0,1088,90
94,92,30,-100,0,1090,90
95,45,65,-200,0,1130,90
96,87,30,-100,668,731,90
97,70,58,-200,458,523,90
98,65,60,-100,0,1119,90
99,63,58,-300,0,1121,90
100,60,60,-100,0,1123,90
101,65,55,-100,85,144,90
102,67,85,-200,368,441,90
103,65,85,-300,0,1102,90
104,55,80,-100,743,820,90
105,60,80,-200,0,1109,90
106,55,85,-300,647,726,90
