NB_VEHICLES,CAPACITY,SPEED,NB_REQUEST,,,
50,2000,1,53,,,
,,,,,,
NO,X_COORD,Y_COORD,DEMAND,E_TIME,L_TIME,S_TIME
0,40,50,0,0,240,0
1,25,85,200,145,175,0
2,20,82,100,37,67,10
3,15,80,100,91,121,10
4,20,85,200,41,71,10
5,15,75,200,79,109,10
6,10,35,200,91,121,10
7,10,40,300,119,149,10
8,8,40,400,59,89,10
9,8,45,200,64,94,10
10,5,45,100,35,65,10
11,27,43,90,42,72,10
12,42,10,400,72,102,10
13,42,12,100,104,134,10
14,38,5,300,65,95,10
15,40,15,400,92,122,10
16,35,5,200,154,184,0
17,92,30,100,62,92,10
18,95,35,200,62,92,10
19,90,35,100,67,97,10
20,88,30,100,74,104,10
21,88,35,200,61,91,10
22,85,25,100,51,81,10
23,60,85,300,85,115,10
24,63,65,80,30,60,10
25,58,75,200,92,122,10
26,62,80,300,75,105,10
27,60,80,100,37,67,10
28,55,80,100,33,63,10
29,37,31,140,35,65,10
30,72,35,300,116,146,10
31,65,20,60,39,69,10
32,25,30,30,52,82,10
33,20,50,50,91,121,10
34,6,68,300,89,119,10
35,37,47,60,86,116,10
36,5,5,160,74,104,10
37,10,20,190,42,72,10
38,15,60,170,155,185,10
39,45,65,90,66,96,10
40,65,35,30,52,82,10
41,45,30,170,53,83,0
42,35,40,160,11,41,10
43,57,29,180,96,126,10
44,64,42,90,70,100,10
45,31,52,270,41,71,10
46,2,60,50,77,107,0
47,60,12,310,75,105,0
48,12,24,130,90,120,10
49,49,58,100,86,116,10
50,63,23,20,87,117,0
51,26,35,150,77,107,10
52,26,52,90,46,76,10
53,53,43,140,14,44,10
54,25,85,-200,145,175,10
55,22,75,-100,50,80,10
56,22,85,-100,109,139,10
57,20,80,-200,141,171,10
58,18,75,-200,95,125,10
59,5,35,-200,142,172,10
60,0,45,-300,149,179,10
61,2,40,-400,58,88,10
62,18,80,-200,113,143,10
63,2,45,-100,45,75,10
64,0,40,-90,72,102,10
65,44,5,-400,87,117,10
66,42,15,-100,122,152,10
67,40,5,-300,67,97,10
68,38,15,-400,148,178,10
69,35,5,-200,154,184,10
70,95,30,-100,115,145,10
71,49,42,-200,167,197,10
72,61,52,-100,178,208,10
73,87,30,-100,131,161,10
74,67,5,-200,144,174,10
75,85,35,-100,111,141,10
76,67,85,-300,139,169,10
77,65,85,-80,43,73,10
78,65,82,-200,124,154,10
79,55,85,-300,128,158,10
80,55,60,-100,139,169,10
81,55,82,-100,64,94,10
82,42,5,-140,151,181,10
83,47,47,-300,192,222,10
84,55,20,-60,83,113,10
85,30,25,-30,96,126,10
86,31,67,-50,180,210,10
87,30,60,-300,140,170,10
88,50,35,-60,130,160,10
89,15,10,-160,152,182,10
90,4,18,-190,120,150,10
91,35,69,-170,180,210,10
92,40,60,-90,144,174,10
93,57,48,-30,95,125,10
94,45,30,-170,53,83,10
95,20,20,-160,141,171,10
96,41,37,-180,133,163,10
97,65,55,-90,65,95,10
98,8,56,-270,90,120,10
99,2,60,-50,77,107,10
100,60,12,-310,75,105,10
101,23,3,-130,150,180,10
102,55,54,-100,132,162,10
103,63,23,-20,87,117,10
104,21,24,-150,87,117,10
105,24,58,-90,67,97,10
106,56,37,-140,34,64,10
